"Date","Price","Open","High","Low","Vol.","Change %"
"30/05/2025","3,463.40","3,490.00","3,506.70","3,453.10","3.40M","-0.99%"
"29/05/2025","3,498.10","3,504.70","3,532.50","3,486.50","3.19M","0.01%"
"28/05/2025","3,497.70","3,520.00","3,529.00","3,493.00","1.22M","-0.03%"
"27/05/2025","3,498.70","3,532.00","3,540.00","3,483.10","2.47M","-1.09%"
"26/05/2025","3,537.30","3,521.00","3,545.00","3,510.10","967.47K","0.65%"
"23/05/2025","3,514.60","3,477.00","3,535.00","3,465.60","1.27M","1.08%"
"22/05/2025","3,477.00","3,495.00","3,497.80","3,451.30","2.03M","-1.38%"
"21/05/2025","3,525.80","3,508.00","3,537.00","3,498.30","1.44M","0.79%"
"20/05/2025","3,498.30","3,531.80","3,558.00","3,494.00","2.04M","-0.58%"
"19/05/2025","3,518.80","3,550.00","3,550.00","3,503.70","2.54M","-1.19%"
"16/05/2025","3,561.30","3,593.90","3,593.90","3,546.10","1.67M","-0.52%"
"15/05/2025","3,579.90","3,564.00","3,600.00","3,514.10","3.55M","0.88%"
"14/05/2025","3,548.70","3,521.00","3,561.00","3,508.60","2.12M","0.96%"
"13/05/2025","3,515.00","3,620.40","3,623.00","3,510.50","3.06M","-2.91%"
"12/05/2025","3,620.40","3,505.00","3,630.50","3,502.20","2.23M","5.24%"
"09/05/2025","3,440.30","3,399.00","3,446.20","3,398.10","2.53M","-0.25%"
"08/05/2025","3,448.90","3,448.00","3,477.00","3,428.70","2.54M","0.11%"
"07/05/2025","3,445.10","3,420.60","3,459.50","3,420.60","1.48M","-0.43%"
"06/05/2025","3,460.00","3,460.00","3,473.00","3,437.00","1.32M","0.17%"
"05/05/2025","3,454.30","3,450.00","3,504.50","3,446.40","1.28M","0.28%"
"02/05/2025","3,444.70","3,472.00","3,491.50","3,420.00","2.12M","-0.26%"
"30/04/2025","3,453.70","3,472.00","3,509.90","3,366.00","2.81M","-0.54%"
"29/04/2025","3,472.50","3,455.00","3,495.00","3,430.40","1.58M","0.84%"
"28/04/2025","3,443.50","3,435.00","3,457.80","3,405.00","1.59M","-0.13%"
"25/04/2025","3,448.00","3,420.00","3,477.80","3,405.00","2.74M","1.36%"
"24/04/2025","3,401.60","3,401.10","3,412.50","3,387.70","2.25M","-0.33%"
"23/04/2025","3,413.00","3,365.00","3,420.90","3,337.30","3.54M","2.97%"
"22/04/2025","3,314.40","3,322.60","3,333.90","3,295.00","2.71M","-0.22%"
"21/04/2025","3,321.60","3,290.10","3,354.00","3,284.10","2.43M","0.69%"
"17/04/2025","3,298.90","3,245.50","3,303.60","3,218.00","2.93M","0.77%"
"16/04/2025","3,273.80","3,248.20","3,278.10","3,229.00","2.38M","0.79%"
